["(mi.info LIKE '%cheddar%' OR mi.info LIKE '%C%')", "ci.note IN ('(associate producer)', '(voice)', '(uncredited)', '(production assistant)', '(associate producer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "n.gender = 'm' AND n.name LIKE '%P%'", "rt.role = 'actor'", "t.production_year > 1968"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%15%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[gb]'", "it.info = 'release dates'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "n.gender = 'm' AND n.name LIKE '%Robert%'", "rt.role = 'actor'", "t.production_year > 1967"],
["(mi.info LIKE '%towers%' OR mi.info LIKE '%o%')", "ci.note IN ('(writer)', '(uncredited)', '(producer)', '(uncredited)', '(writer)')", "cn.country_code = '[gb]'", "it.info = 'release dates'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "n.gender = 'm' AND n.name LIKE '%Robert%'", "rt.role = 'actor'", "t.production_year > 1965"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%o%')", "ci.note IN ('(writer)', '(written by)', '(producer)', '(associate producer)', '(uncredited)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('independent-film', 'independent-film', 'character-name-in-title', 'independent-film', 'independent-film')", "n.gender = 'm' AND n.name LIKE '%Griffin%'", "rt.role = 'actor'", "t.production_year > 1973"],
["(mi.info LIKE '%C%' OR mi.info LIKE '%s%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[ar]'", "it.info = 'release dates'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "n.gender = 'm' AND n.name LIKE '%John%'", "rt.role = 'actor'", "t.production_year > 1965"],
["(mi.info LIKE '%n%' OR mi.info LIKE '%1%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(producer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "n.gender = 'm' AND n.name LIKE '%Guy%'", "rt.role = 'actor'", "t.production_year > 1963"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%C%')", "ci.note IN ('(play "El sue̱o de Bagdad")', '(voice)', '(writer)', '(as Ganja)', '(commentary)')", "cn.country_code = '[de]'", "it.info = 'genres'", "k.keyword IN ('friendship', 'death', 'revenge', 'two-word-title', 'two-word-title')", "n.gender = 'm' AND n.name LIKE '%De%'", "rt.role = 'actor'", "t.production_year > 1981"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%n%')", "ci.note IN ('(producer)', '(producer)', '(voice)', '(producer)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('independent-film', 'character-name-in-title', 'independent-film', 'character-name-in-title', 'independent-film')", "n.gender = 'm' AND n.name LIKE '%Tim%'", "rt.role = 'actor'", "t.production_year > 1974"],
["(mi.info LIKE '%r%' OR mi.info LIKE '%n%')", "ci.note IN ('(uncredited)', '(writer)', '(uncredited)', '(writer)', '(executive producer)')", "cn.country_code = '[gb]'", "it.info = 'release dates'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "n.gender = 'm' AND n.name LIKE '%J%'", "rt.role = 'actor'", "t.production_year > 1970"],
["(mi.info LIKE '%1%' OR mi.info LIKE '%C%')", "ci.note IN ('(uncredited)', '(producer)', '(uncredited)', '(uncredited)', '(producer)')", "cn.country_code = '[gb]'", "it.info = 'release dates'", "k.keyword IN ('based-on-play', 'number-in-title', 'nudity', 'nudity', 'nudity')", "n.gender = 'm' AND n.name LIKE '%Robert%'", "rt.role = 'actor'", "t.production_year > 1966"],
["(mi.info LIKE '%1%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(script supervisor)', '(production assistant)', '(written by)', '(voice)')", "cn.country_code = '[gb]'", "it.info = 'release dates'", "k.keyword IN ('female-frontal-nudity', 'bare-breasts', 'sequel', 'male-nudity', 'cult-film')", "n.gender = 'm' AND n.name LIKE '%Ron%'", "rt.role = 'actor'", "t.production_year > 1968"],
