["ci.note IN ('(writer)', '(voice)', '(voice)', '(adprom manager)', '(adprom manager)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%version%'", "mi.info LIKE '%heroism%'", "mi.info LIKE '%h%'", "n.gender = 'm'", "n.name LIKE '%Ho%'", "rt.role = 'actor'", "t.production_year > 2004", "t.production_year < 2007"],
["ci.note IN ('(uncredited)', '(producer)', '(uncredited)', '(producer)', '(producer)')", "cn.country_code = '[us]'", "it.info = 'countries'", "mc.note LIKE '%USA%'", "mc.note LIKE '%2006%'", "mi.info LIKE '%33%'", "mi.info LIKE '%A%'", "n.gender = 'm'", "n.name LIKE '%Donald%'", "rt.role = 'actor'", "t.production_year > 1989", "t.production_year < 2004"],
["ci.note IN ('(voice)', '(writer)', '(executive producer)', '(writer)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%VHS%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%E%'", "mi.info LIKE '%l%'", "n.gender = 'm'", "n.name LIKE '%Dee%'", "rt.role = 'actor'", "t.production_year > 1934", "t.production_year < 2010"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[fi]'", "it.info = 'release dates'", "mc.note LIKE '%1912%'", "mc.note LIKE '%2008%'", "mi.info LIKE '%l%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year > 1971", "t.production_year < 2011"],
["ci.note IN ('(credit only)', '(as AntÃ³nio Correia)', '(creator)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%e%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Daniel%'", "rt.role = 'actor'", "t.production_year > 1913", "t.production_year < 2006"],
["ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%production%'", "mc.note LIKE '%TV%'", "mi.info LIKE '%S%'", "mi.info LIKE '%m%'", "n.gender = 'm'", "n.name LIKE '%Flores%'", "rt.role = 'actor'", "t.production_year > 1922", "t.production_year < 2013"],
["ci.note IN ('(production assistant)', '(uncredited)', '(executive producer)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%1955%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%o%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Hank%'", "rt.role = 'actor'", "t.production_year > 1970", "t.production_year < 2005"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%USA%'", "mc.note LIKE '%theatrical%'", "mi.info LIKE '%i%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Tony%'", "rt.role = 'actor'", "t.production_year > 1964", "t.production_year < 2007"],
["ci.note IN ('(uncredited)', '(script supervisor)', '(uncredited)', '(voice)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%USA%'", "mc.note LIKE '%2007%'", "mi.info LIKE '%i%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Roger%'", "rt.role = 'actor'", "t.production_year > 1969", "t.production_year < 2010"],
["ci.note IN ('(uncredited)', '(voice)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2009%'", "mc.note LIKE '%in%'", "mi.info LIKE '%C%'", "mi.info LIKE '%l%'", "n.gender = 'm'", "n.name LIKE '%Rob%'", "rt.role = 'actor'", "t.production_year > 2002", "t.production_year < 2009"],
["ci.note IN ('(voice)', '(voice)', '(executive producer)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%TV%'", "mi.info LIKE '%S%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Cha%'", "rt.role = 'actor'", "t.production_year > 1992", "t.production_year < 2011"],
["ci.note IN ('(archive footage)', '(archive footage)', '(archive footage)', '(archive footage)', '(archive footage)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2004%'", "mc.note LIKE '%co%'", "mi.info LIKE '%C%'", "mi.info LIKE '%l%'", "n.gender = 'm'", "n.name LIKE '%George%'", "rt.role = 'actor'", "t.production_year > 1990", "t.production_year < 2013"],
["ci.note IN ('(uncredited)', '(executive producer)', '(voice)', '(uncredited)', '(producer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%Poland%'", "mi.info LIKE '%a%'", "mi.info LIKE '%C%'", "n.gender = 'm'", "n.name LIKE '%W%'", "rt.role = 'actor'", "t.production_year > 1952", "t.production_year < 1977"],
["ci.note IN ('(uncredited)', '(production assistant)', '(executive producer)', '(executive producer)', '(production assistant)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%1969%'", "mc.note LIKE '%production%'", "mi.info LIKE '%A%'", "mi.info LIKE '%A%'", "n.gender = 'm'", "n.name LIKE '%Foster%'", "rt.role = 'actor'", "t.production_year > 1941", "t.production_year < 2008"],
["ci.note IN ('(voice)', '(writer)', '(creator)', '(voice)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'genres'", "mc.note LIKE '%1938%'", "mc.note LIKE '%in%'", "mi.info LIKE '%RAT%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Michael%'", "rt.role = 'actor'", "t.production_year > 1979", "t.production_year < 2001"],
["ci.note IN ('(producer)', '(voice)', '(co-head writer)', '(executive producer)', '(executive producer)')", "cn.country_code = '[us]'", "it.info = 'countries'", "mc.note LIKE '%association%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%S%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Clark%'", "rt.role = 'actor'", "t.production_year > 1953", "t.production_year < 2011"],
["ci.note IN ('(voice)', '(production assistant)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[nl]'", "it.info = 'genres'", "mc.note LIKE '%2012%'", "mc.note LIKE '%production%'", "mi.info LIKE '%C%'", "mi.info LIKE '%scene%'", "n.gender = 'm'", "n.name LIKE '%Michael%'", "rt.role = 'actor'", "t.production_year > 1972", "t.production_year < 2009"],
["ci.note IN ('(uncredited)', '(executive producer)', '(executive producer)', '(executive producer)', '(writer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%TV%'", "mi.info LIKE '%C%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Michael%'", "rt.role = 'actor'", "t.production_year > 1968", "t.production_year < 2012"],
["ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%VHS%'", "mc.note LIKE '%2004%'", "mi.info LIKE '%l%'", "mi.info LIKE '%A%'", "n.gender = 'm'", "n.name LIKE '%Cummings%'", "rt.role = 'actor'", "t.production_year > 1992", "t.production_year < 2012"],
["ci.note IN ('(uncredited)', '(uncredited)', '(producer)', '(executive producer)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%TV%'", "mc.note LIKE '%with%'", "mi.info LIKE '%l%'", "mi.info LIKE '%a%'", "n.gender = 'm'", "n.name LIKE '%Burton%'", "rt.role = 'actor'", "t.production_year > 1993", "t.production_year < 2011"],
["ci.note IN ('(voice)', '(written by)', '(writer)', '(creator)', '(archive footage)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2007%'", "mc.note LIKE '%TV%'", "mi.info LIKE '%i%'", "mi.info LIKE '%m%'", "n.gender = 'm'", "n.name LIKE '%Brian%'", "rt.role = 'actor'", "t.production_year > 2005", "t.production_year < 2012"],
["ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%in%'", "mc.note LIKE '%DVD%'", "mi.info LIKE '%S%'", "mi.info LIKE '%Building%'", "n.gender = 'm'", "n.name LIKE '%Ho%'", "rt.role = 'actor'", "t.production_year > 1991", "t.production_year < 2004"],
["ci.note IN ('(producer)', '(uncredited)', '(uncredited)', '(script supervisor)', '(co-executive producer)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%TV%'", "mc.note LIKE '%Brazil%'", "mi.info LIKE '%young%'", "mi.info LIKE '%C%'", "n.gender = 'm'", "n.name LIKE '%B%'", "rt.role = 'actor'", "t.production_year > 2005", "t.production_year < 2012"],
["ci.note IN ('(uncredited)', '(producer)', '(producer)', '(producer)', '(producer)')", "cn.country_code = '[us]'", "it.info = 'countries'", "mc.note LIKE '%USA%'", "mc.note LIKE '%USA%'", "mi.info LIKE '%l%'", "mi.info LIKE '%n%'", "n.gender = 'm'", "n.name LIKE '%Griffin%'", "rt.role = 'actor'", "t.production_year > 1962", "t.production_year < 2006"],
["ci.note IN ('(voice)', '(uncredited)', '(voice)', '(voice)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2008%'", "mc.note LIKE '%TV%'", "mi.info LIKE '%For%'", "mi.info LIKE '%1%'", "n.gender = 'm'", "n.name LIKE '%Ho%'", "rt.role = 'actor'", "t.production_year > 2005", "t.production_year < 2005"],
["ci.note IN ('(voice)', '(executive producer)', '(executive producer)', '(executive producer)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%all%'", "mc.note LIKE '%worldwide%'", "mi.info LIKE '%o%'", "mi.info LIKE '%o%'", "n.gender = 'm'", "n.name LIKE '%Phil%'", "rt.role = 'actor'", "t.production_year > 1953", "t.production_year < 2008"],
